N,t
2,90.3529411764706
3,88.52941176470588
4,57.588235294117645
5,71.6470588235294
6,84.6470588235294
7,125.88235294117646
8,191.88235294117646
9,204.94117647058823
10,248.58823529411765
11,156.05882352941177
12,135.41176470588235
13,158.05882352941177
14,149.70588235294116
15,157.88235294117646
16,167.05882352941177
17,181.8235294117647
18,188.58823529411765
19,201.47058823529412
20,218.64705882352942
21,222.7058823529412
22,233.1764705882353
23,235.23529411764707
24,262.29411764705884
25,262.6470588235294
26,290.6470588235294
27,301.11764705882354
28,315.3529411764706
29,329.47058823529414
30,347.29411764705884
31,342.7647058823529
32,356.05882352941177
33,371.11764705882354
34,391.4117647058824
35,405.47058823529414
36,417.11764705882354
37,419.88235294117646
38,448.6470588235294
39,461.94117647058823
40,477.47058823529414
41,489.5882352941176
42,528.1176470588235
43,531.7647058823529
44,552.0
45,568.5294117647059
46,592.4705882352944
47,601.9411764705883
48,627.0
49,643.0
50,659.5294117647059
51,672.6470588235294
52,698.7647058823529
53,726.8823529411765
54,769.2941176470588
55,776.0588235294117
56,793.7058823529412
57,797.5882352941177
58,833.8235294117648
59,846.4705882352941
60,877.2941176470588
61,883.3529411764706
62,912.5882352941177
63,924.0
64,954.4705882352941
65,962.2352941176471
66,1009.9411764705883
67,1017.0588235294117
68,1034.235294117647
69,1062.4705882352944
70,1096.9411764705883
71,1121.3529411764707
72,1136.1764705882354
73,1156.5294117647059
74,1184.2941176470588
75,1210.1764705882354
76,1253.1176470588234
77,1262.1176470588234
78,1301.5294117647059
79,1287.8823529411766
80,1344.8823529411766
81,1375.0
82,1409.5882352941176
83,1437.7058823529412
84,1449.3529411764705
85,1463.4705882352941
86,1510.0
87,1551.235294117647
88,1596.3529411764705
89,1604.8235294117646
90,1643.5882352941176
91,1656.4705882352941
92,1682.5882352941176
93,1739.7058823529412
94,1815.6470588235295
95,1801.1176470588234
96,1856.3529411764705
97,1861.9411764705883
98,1925.1764705882354
99,1931.764705882353
100,1986.2941176470588
