N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.004234122042341221,0.0017403767403767402,0.0013485641757893067,0.0009756657483930212,0.000457235072619688,0.0003844414292175486,0.0003195068318078449,0.000270184361093452
5,0.00813397129186603,0.004403004403004403,0.0016432265236092987,0.002049674463467567,0.0011447811447811449,0.0012149799885648944,0.0009394860458690245,0.0007194853563568648
6,0.01161995898838004,0.005626654898499559,0.0028887000849617673,0.0032196969696969696,0.002029043166898747,0.0013322884012539184,0.001338055883510429,0.0011166579085654228
7,0.007376871338685181,0.006282335550628234,0.0025129342202512934,0.0019366598313966736,0.0013767969224539381,0.0010891152540201167,0.0008761080189651618,0.0007289879931389366
8,0.03981264637002342,0.03136531365313653,0.015917602996254682,0.009929906542056076,0.007744874715261958,0.004979496192149971,0.003936096318592266,0.003638698630136988
9,0.05804524114383269,0.04053651266766021,0.018861382705776298,0.01395444284834804,0.009366391184573003,0.006712071858651666,0.005743849646288671,0.004606421894052297
10,0.12135208901952552,0.0775006704210244,0.04230712926365101,0.029586404586404585,0.016760910540814848,0.013411295187711725,0.010617388269439188,0.009464238931097721
11,0.062257647565704434,0.04423018059381696,0.021153564631825505,0.016019955654101994,0.007830917219888904,0.006535504296698326,0.004818031775669773,0.004858122646584185
12,0.0998177768779105,0.05199325036912044,0.026348137459248567,0.02209969517661825,0.013540236198846473,0.010610365013774103,0.008758683177287828,0.007127573444367337
13,0.12763798701298704,0.06889375684556408,0.040468378047995884,0.0262301918265221,0.018298181818181818,0.01139988400753951,0.010223818734457032,0.008488987259771107
14,0.13102766798418972,0.05643513789581205,0.029201902748414377,0.026764088487001455,0.01588214157384118,0.012325711098717234,0.010058866367277583,0.00894785143597495
15,0.1646795827123696,0.0758147512864494,0.03474433046417482,0.03189033189033189,0.020345224395857307,0.015502244668911336,0.010268800966475386,0.009301346801346802
16,0.17386363636363636,0.06623376623376624,0.02940611185854315,0.029805194805194803,0.016444245409762654,0.01559315124337546,0.011162994309061727,0.008074162679425838
17,0.2271786184829663,0.08834724052115356,0.03937110610953452,0.03494499131441806,0.02349620401012264,0.016855187822929756,0.013958436932613245,0.01009264833768145
18,0.21086992002611393,0.07636836505497104,0.034074425719334334,0.032590051457975985,0.020660430159110902,0.016205097330925147,0.01338055883510429,0.011080617495711835
