N,plain,1,2,3,4,5,6,7,8
2,0.0,29.470588235294116,15.764705882352942,20.529411764705884,23.0,19.941176470588236,38.1764705882353,35.88235294117647,37.76470588235294
3,0.0,19.11764705882353,10.705882352941176,24.0,24.0,23.41176470588235,29.705882352941178,42.11764705882353,39.294117647058826
4,0.09090909090909091,21.470588235294116,26.117647058823533,22.470588235294116,23.294117647058822,39.76470588235294,39.411764705882355,40.64705882352941,42.05882352941177
5,0.18181818181818182,22.352941176470587,20.647058823529413,36.88235294117647,22.176470588235293,31.764705882352942,24.941176470588236,27.647058823529413,31.58823529411765
6,0.2727272727272727,23.470588235294116,24.235294117647058,31.470588235294116,21.176470588235293,26.88235294117647,34.11764705882353,29.11764705882353,30.529411764705884
7,0.18181818181818182,24.647058823529413,14.470588235294118,24.11764705882353,23.470588235294116,26.41176470588235,27.823529411764707,29.647058823529413,31.176470588235293
8,1.0,25.11764705882353,15.941176470588236,20.941176470588236,25.176470588235293,25.823529411764707,33.470588235294116,36.294117647058826,34.35294117647057
9,1.4545454545454546,25.058823529411764,17.941176470588236,25.705882352941178,26.058823529411764,31.058823529411764,36.117647058823515,36.1764705882353,39.470588235294116
10,3.090909090909091,25.470588235294116,19.941176470588236,24.352941176470587,26.11764705882353,36.88235294117647,38.411764705882355,41.588235294117645,40.8235294117647
11,1.5454545454545454,24.823529411764707,17.470588235294116,24.352941176470587,24.11764705882353,39.470588235294116,39.411764705882355,45.8235294117647,39.76470588235294
12,2.6363636363636362,26.41176470588235,25.352941176470587,33.35294117647059,29.823529411764707,38.94117647058823,41.411764705882355,43.0,46.23529411764706
13,3.3636363636363638,26.352941176470587,24.41176470588235,27.705882352941178,32.05882352941177,36.76470588235294,49.1764705882353,47.0,49.529411764705884
14,3.5454545454545454,27.058823529411764,31.41176470588235,40.470588235294116,33.11764705882353,44.64705882352941,47.94117647058823,50.35294117647059,49.529411764705884
15,4.7272727272727275,28.705882352941178,31.176470588235293,45.35294117647059,37.05882352941177,46.470588235294116,50.8235294117647,65.76470588235294,63.529411764705884
16,4.909090909090909,28.235294117647058,37.05882352941176,55.64705882352941,41.1764705882353,59.705882352941174,52.470588235294116,62.8235294117647,76.0
17,6.454545454545454,28.41176470588235,36.529411764705884,54.64705882352941,46.1764705882353,54.94117647058823,63.8235294117647,66.05882352941177,79.94117647058823
18,6.909090909090909,32.76470588235294,45.23529411764706,67.58823529411765,53.0,66.88235294117646,71.05882352941177,73.76470588235294,77.94117647058823
19,8.0,33.411764705882355,43.705882352941174,77.17647058823529,56.23529411764706,62.705882352941174,77.52941176470588,90.52941176470588,88.52941176470588
20,9.272727272727273,37.8235294117647,54.705882352941174,85.58823529411765,62.588235294117645,82.76470588235294,83.23529411764706,91.29411764705883,102.6470588235294
21,11.272727272727273,40.11764705882353,55.23529411764706,90.11764705882354,71.58823529411762,93.94117647058823,82.11764705882354,97.6470588235294,103.58823529411765
22,12.727272727272727,42.588235294117645,63.64705882352941,96.82352941176471,70.05882352941177,106.47058823529412,106.58823529411765,98.41176470588235,120.58823529411765
23,15.181818181818182,43.529411764705884,63.588235294117645,108.88235294117646,79.76470588235294,100.70588235294117,106.29411764705883,105.0,104.0
24,17.272727272727273,49.76470588235294,71.3529411764706,107.11764705882354,90.41176470588235,111.70588235294117,111.47058823529412,122.88235294117646,130.0588235294118
25,16.818181818181817,50.05882352941177,74.88235294117646,95.3529411764706,96.88235294117646,111.05882352941177,114.58823529411765,118.47058823529412,126.29411764705883
26,15.818181818181818,54.11764705882353,87.3529411764706,99.94117647058823,105.70588235294117,127.70588235294117,122.29411764705883,132.1764705882353,145.23529411764707
