N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.004234122042341221,0.0034807534807534805,0.00404569252736792,0.0039026629935720847,0.00228617536309844,0.002306648575305292,0.002236547822654914,0.002161474888747616
5,0.00813397129186603,0.008806008806008805,0.004929679570827896,0.008198697853870267,0.005723905723905724,0.007289879931389366,0.006576402321083172,0.005755882850854918
6,0.01161995898838004,0.011253309796999117,0.008666100254885302,0.012878787878787878,0.010145215834493734,0.00799373040752351,0.009366391184573003,0.008933263268523383
7,0.007376871338685181,0.012564671101256468,0.00753880266075388,0.007746639325586694,0.006883984612269691,0.0065346915241206996,0.006132756132756133,0.005831903945111493
8,0.03981264637002342,0.06273062730627306,0.047752808988764044,0.039719626168224303,0.03872437357630979,0.029876977152899827,0.027552674230145867,0.029109589041095903
9,0.05804524114383269,0.08107302533532042,0.0565841481173289,0.05581777139339216,0.046831955922865015,0.040272431151909996,0.040206947524020695,0.036851375152418375
10,0.12135208901952552,0.1550013408420488,0.12692138779095302,0.11834561834561834,0.08380455270407423,0.08046777112627035,0.07432171788607432,0.07571391144878177
11,0.062257647565704434,0.08846036118763392,0.06346069389547651,0.06407982261640797,0.03915458609944452,0.03921302578018995,0.03372622242968841,0.03886498117267348
12,0.0998177768779105,0.10398650073824088,0.0790444123777457,0.088398780706473,0.06770118099423236,0.06366219008264462,0.0613107822410148,0.0570205875549387
13,0.12763798701298704,0.13778751369112816,0.12140513414398765,0.1049207673060884,0.0914909090909091,0.06839930404523706,0.07156673114119923,0.06791189807816886
14,0.13102766798418972,0.1128702757916241,0.08760570824524314,0.10705635394800582,0.07941070786920588,0.0739542665923034,0.07041206457094308,0.0715828114877996
15,0.1646795827123696,0.1516295025728988,0.10423299139252447,0.12756132756132757,0.10172612197928654,0.09301346801346802,0.0718816067653277,0.07441077441077441
16,0.17386363636363636,0.13246753246753248,0.08821833557562944,0.11922077922077921,0.08222122704881327,0.09355890746025276,0.07814096016343208,0.0645933014354067
17,0.2271786184829663,0.17669448104230712,0.11811331832860357,0.13977996525767225,0.1174810200506132,0.10113112693757854,0.09770905852829272,0.0807411867014516
18,0.21086992002611393,0.15273673010994207,0.102223277158003,0.13036020583190394,0.1033021507955545,0.09723058398555087,0.09366391184573003,0.08864493996569468
19,0.23943661971830985,0.18304172274562586,0.10365853658536586,0.14225941422594143,0.12757973733583491,0.10318664643399089,0.08836907082521117,0.09036544850498339
