N,t
2,24.470588235294116
3,34.35294117647059
4,36.294117647058826
5,19.176470588235293
6,21.235294117647058
7,20.23529411764706
8,23.176470588235293
9,22.176470588235293
10,27.647058823529413
11,35.0
12,31.058823529411764
13,30.88235294117647
14,38.88235294117647
15,38.000000000000014
16,47.470588235294116
17,48.76470588235294
18,56.05882352941177
19,52.94117647058823
20,74.76470588235294
21,72.58823529411765
22,81.94117647058823
23,87.82352941176471
24,103.17647058823529
25,95.0
26,117.05882352941177
27,109.3529411764706
28,125.82352941176471
29,128.2941176470588
30,132.88235294117646
31,143.64705882352942
32,146.76470588235296
33,155.94117647058823
34,175.47058823529412
35,171.58823529411765
36,188.0
37,191.11764705882354
38,209.52941176470588
39,210.94117647058823
40,225.0
41,239.8235294117647
42,249.52941176470588
43,260.1764705882353
44,278.29411764705884
45,277.05882352941177
46,310.7647058823529
47,306.88235294117646
48,342.88235294117646
49,336.11764705882354
50,365.94117647058823
51,371.6470588235294
52,396.52941176470586
53,391.0
54,424.2352941176471
55,444.88235294117646
56,449.29411764705884
57,460.1764705882353
58,502.29411764705884
59,498.52941176470586
60,537.1176470588235
61,548.8823529411765
62,569.5882352941177
63,572.4117647058822
64,598.8235294117648
65,620.5294117647059
66,645.0588235294117
67,633.7058823529412
68,646.4705882352941
69,650.6470588235294
70,693.1176470588235
71,703.0588235294117
72,740.7058823529412
73,748.0
74,775.1764705882352
75,777.0
76,827.8823529411765
77,820.7647058823529
78,863.9411764705883
79,868.8235294117648
80,915.8235294117648
81,929.7058823529412
82,954.5294117647059
83,974.8235294117648
84,1020.4705882352941
85,1011.3529411764706
86,1045.5882352941176
87,1075.235294117647
88,1117.9411764705883
89,1115.8823529411766
90,1151.3529411764705
91,1172.1176470588234
92,1191.2941176470588
93,1244.0588235294117
94,1279.764705882353
95,1284.8823529411766
96,1325.9411764705883
97,1296.5294117647059
98,1379.764705882353
99,1413.9411764705883
100,1425.7058823529412
