N,t
2,43.0
3,32.94117647058823
4,31.705882352941178
5,30.11764705882353
6,29.647058823529413
7,30.0
8,30.705882352941178
9,34.470588235294116
10,30.235294117647058
11,29.941176470588236
12,31.058823529411764
13,30.647058823529413
14,54.0
15,46.23529411764706
16,57.1764705882353
17,66.35294117647058
18,72.41176470588235
19,94.88235294117646
20,132.94117647058823
21,124.88235294117649
22,155.35294117647058
23,91.1764705882353
24,143.1764705882353
25,137.76470588235293
26,115.52941176470588
27,205.8235294117647
28,231.76470588235293
29,257.1764705882353
30,231.41176470588235
31,224.8235294117647
32,249.23529411764707
33,339.4117647058824
34,232.1764705882353
35,405.5882352941176
36,380.1764705882353
37,306.7647058823529
38,250.2941176470588
39,405.47058823529414
40,424.47058823529414
41,411.4117647058824
42,580.8823529411764
43,459.8235294117647
44,505.6470588235294
45,471.11764705882354
46,535.7647058823529
47,530.1764705882352
48,634.1764705882352
49,565.0588235294117
50,794.2941176470588
51,662.0
52,742.4705882352941
53,950.4117647058823
54,978.8235294117648
55,1102.1176470588234
56,1089.1176470588234
57,1161.3529411764705
58,1281.0588235294117
59,992.1764705882352
60,1567.8235294117646
61,1374.235294117647
62,1480.8823529411766
63,1317.5882352941176
64,1231.0
65,1509.6470588235295
66,1561.8823529411766
67,1305.9411764705883
68,1459.1176470588234
69,1872.764705882353
70,1780.5294117647059
71,1644.1176470588234
72,2082.529411764706
73,2111.176470588235
74,1853.5882352941176
75,2224.470588235294
76,2280.4117647058824
77,2210.7058823529405
78,2095.823529411765
79,2366.0
80,2142.705882352941
81,2199.0588235294117
82,2295.0
83,2214.8823529411766
84,2632.8823529411766
85,2666.235294117647
86,2048.5882352941176
87,2450.764705882353
88,2728.176470588235
89,2275.235294117647
90,2643.5882352941176
91,2593.2352941176473
92,2719.9411764705883
93,2486.5882352941176
94,3367.1176470588234
95,3250.529411764706
96,3225.294117647059
97,2743.235294117647
98,3653.6470588235293
99,3270.4117647058824
100,3755.8823529411766
