N,S
2,0.0
3,0.0
4,0.00404569252736792
5,0.004929679570827896
6,0.008666100254885302
7,0.00753880266075388
8,0.047752808988764044
9,0.0565841481173289
10,0.12692138779095302
11,0.06346069389547651
12,0.0790444123777457
13,0.12140513414398765
14,0.08760570824524314
15,0.10423299139252447
16,0.08821833557562944
17,0.11811331832860357
18,0.102223277158003
19,0.10365853658536586
20,0.10834114339268978
21,0.12508901020650368
22,0.1314481387385397
23,0.1394332301949806
24,0.1612500624032749
25,0.17637821771072848
26,0.15827492107656913
27,0.1638115631691649
28,0.1689363268310637
29,0.19140567382860513
30,0.18165122297353703
31,0.17315635401211052
32,0.1619411941194119
33,0.17185405268306822
34,0.1784589544404787
35,0.1855458911240219
36,0.18925021167173633
37,0.1795147925453947
38,0.18299638505824073
39,0.16648924845646157
40,0.17520891364902505
41,0.17541362746842198
42,0.1751567398119122
43,0.16963221334275244
44,0.16247799926323112
45,0.17057212734379898
46,0.16732789239023654
47,0.1653726850577244
48,0.1759895606785559
49,0.17127239088386179
50,0.1714384100747737
51,0.16887593619754943
52,0.1737508529835469
53,0.18019874861980123
54,0.16471260682271263
55,0.1627157652474108
56,0.16570372990606455
57,0.16716361098775612
58,0.17492188262864955
59,0.16802716342240517
60,0.1810367922843365
61,0.1733778793740109
62,0.17135528094432204
63,0.16941730188775772
64,0.17199575246298154
65,0.17450287143024573
66,0.17669240608271355
67,0.1748890508659107
68,0.17462678684599678
69,0.17821378010543962
70,0.1810955340367105
71,0.17938811822465323
72,0.18351179594324019
73,0.18484063432249961
74,0.1863922715215819
75,0.1901415797317437
76,0.1969566178936029
77,0.20850523200212212
78,0.21490460832012245
79,0.20814849792829165
80,0.20577404338636684
81,0.2074442924534332
82,0.20847743465030738
83,0.21292152498911412
84,0.22133120421472238
85,0.2171370797876822
86,0.23658163321479297
87,0.22216760612293968
88,0.22750074696104797
89,0.2128827737805684
90,0.21604763395808171
91,0.2245222614280617
92,0.23009208120896982
93,0.22687431709632938
94,0.2255927858646892
95,0.22770797157923045
96,0.2258436980028712
97,0.22958478106795274
98,0.23644668573092
99,0.2396892111388335
100,0.2360093829288142
