N,t
2,35.88235294117647
3,42.11764705882353
4,40.64705882352941
5,27.647058823529413
6,29.11764705882353
7,29.647058823529413
8,36.294117647058826
9,36.1764705882353
10,41.588235294117645
11,45.8235294117647
12,43.0
13,47.0
14,50.35294117647059
15,65.76470588235294
16,62.8235294117647
17,66.05882352941177
18,73.76470588235294
19,90.52941176470588
20,91.29411764705883
21,97.6470588235294
22,98.41176470588235
23,105.0
24,122.88235294117646
25,118.47058823529412
26,132.1764705882353
27,139.47058823529412
28,135.64705882352945
29,153.0
30,162.52941176470588
31,160.8235294117647
32,169.41176470588235
33,181.76470588235293
34,215.0
35,211.1764705882353
36,215.0
37,226.88235294117646
38,242.35294117647058
39,239.88235294117646
40,283.05882352941177
41,251.0
42,293.5882352941176
43,303.0
44,337.1764705882353
45,327.47058823529414
46,368.4117647058824
47,389.6470588235294
48,394.5882352941176
49,412.4117647058824
50,419.52941176470586
51,429.05882352941177
52,452.3529411764706
53,455.52941176470586
54,485.47058823529414
55,502.52941176470586
56,530.4117647058823
57,547.7647058823529
58,594.2352941176471
59,579.0588235294117
60,594.6470588235294
61,619.3529411764706
62,632.7058823529412
63,655.1764705882352
64,687.0
65,670.0
66,722.0588235294117
67,703.6470588235294
68,769.4705882352941
69,774.6470588235294
70,795.2352941176471
71,839.6470588235294
72,832.7058823529412
73,850.4117647058823
74,867.8235294117648
75,970.1764705882352
76,939.5882352941177
77,942.1764705882352
78,977.7058823529412
79,995.2352941176471
80,1050.764705882353
81,1019.0
82,1100.3529411764705
83,1021.5294117647059
84,1135.0
85,1143.1764705882354
86,1191.1176470588234
87,1206.8823529411766
88,1224.4705882352941
89,1261.2941176470588
90,1296.0
91,1340.6470588235295
92,1405.8235294117646
93,1452.5882352941176
94,1495.1176470588234
95,1401.235294117647
96,1542.2941176470588
97,1564.9411764705883
98,1628.3529411764705
99,1566.1764705882354
100,1640.6470588235295
