N,Строки и столбцы,Только строки
2,109.17647058823529,31.823529411764707
3,55.76470588235294,31.11764705882353
4,60.76470588235294,37.411764705882355
5,90.05882352941177,34.470588235294116
6,111.23529411764706,24.764705882352942
7,118.3529411764706,30.0
8,138.64705882352942,39.294117647058826
9,146.2941176470588,36.88235294117647
10,184.94117647058823,40.88235294117647
11,189.2941176470588,37.05882352941177
12,195.2941176470588,45.1764705882353
13,193.64705882352942,43.05882352941177
14,216.05882352941177,54.94117647058823
15,227.94117647058823,51.11764705882353
16,233.1764705882353,60.94117647058823
17,242.41176470588235,58.411764705882355
18,269.05882352941177,69.3529411764706
19,269.17647058823525,76.82352941176471
20,295.94117647058823,88.76470588235294
21,296.70588235294116,100.3529411764706
22,318.29411764705884,103.82352941176471
23,332.0,117.52941176470588
24,354.94117647058823,121.76470588235294
25,369.70588235294116,118.52941176470588
26,394.3529411764706,133.1764705882353
27,401.0,143.47058823529412
28,418.1764705882353,137.17647058823528
29,425.3529411764706,153.8235294117647
30,449.88235294117646,168.47058823529412
31,454.11764705882354,150.7058823529412
32,485.5882352941176,178.0
33,489.05882352941177,172.58823529411765
34,518.1764705882352,201.35294117647058
35,532.0,198.05882352941177
36,568.1764705882351,222.0
37,572.5294117647059,232.52941176470588
38,596.0588235294117,252.1764705882353
39,615.9411764705883,256.8235294117647
40,627.1764705882352,258.70588235294116
41,639.7647058823529,264.1764705882353
42,674.8235294117648,304.5882352941176
43,684.5294117647059,290.47058823529414
44,701.2941176470588,306.94117647058823
45,707.1176470588235,343.47058823529414
46,743.1176470588235,352.7647058823529
47,751.7058823529412,378.5882352941176
48,784.0588235294117,387.52941176470586
49,788.0,386.6470588235294
50,830.5294117647059,396.6470588235294
51,853.5882352941177,402.0
52,885.5294117647059,473.94117647058823
53,897.2941176470588,459.52941176470586
54,920.1176470588235,491.05882352941177
55,933.4117647058823,500.47058823529414
56,977.9411764705883,527.2941176470588
57,984.2941176470588,502.88235294117646
58,1027.5294117647059,568.7647058823529
59,1042.9411764705883,560.5294117647059
60,1075.1176470588234,598.7058823529412
61,1081.4705882352941,608.2941176470588
62,1130.3529411764707,639.9411764705883
63,1146.1764705882354,680.2352941176471
64,1194.2941176470588,683.2352941176471
65,1210.0,670.4705882352941
66,1262.8235294117649,714.8235294117648
67,1258.764705882353,734.1176470588235
68,1290.4117647058824,758.4705882352941
69,1312.0,772.6470588235294
70,1354.4705882352941,794.4117647058823
71,1365.8823529411766,822.2352941176471
72,1428.235294117647,856.8235294117648
73,1446.2941176470588,869.8823529411765
74,1479.7058823529412,894.1764705882352
75,1519.0588235294117,916.1176470588235
76,1554.0,970.2352941176471
77,1584.1176470588234,965.8823529411765
78,1623.5882352941176,1018.0
79,1638.0588235294117,1024.8823529411766
80,1729.8235294117646,1027.6470588235295
81,1736.4705882352941,1046.6470588235295
82,1799.1764705882354,1039.235294117647
83,1782.8235294117646,1080.1176470588234
84,1835.5882352941176,1124.1764705882354
85,1863.8235294117646,1168.8235294117649
86,1913.6470588235295,1223.1764705882354
87,1932.1764705882354,1217.2941176470588
88,1999.1764705882354,1290.8235294117646
89,2002.4117647058824,1299.7058823529412
90,2042.8823529411766,1335.8823529411766
91,2110.2352941176464,1330.235294117647
92,2119.0,1410.8235294117646
93,2165.1176470588234,1382.1764705882354
94,2209.117647058823,1446.4705882352941
95,2230.058823529412,1541.764705882353
96,2267.705882352941,1511.6470588235295
97,2318.235294117647,1530.5294117647059
98,2391.294117647059,1618.1764705882354
99,2453.529411764706,1619.8235294117646
100,2497.176470588235,1624.0
