N,1,2,3,4,5,6,7,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.010057187931374481,0.00459652706843718,0.005831903945111493,0.003090909090909091,0.002029043166898747,0.002468777229160616,0.0020960052605622226,0.0015345422450453348
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0009128497019814208,0.0007380394199878441,0.00046577894679160494,0.00028492893537141324,0.00013328629111294054,0.00014373647186147187,0.00011675262865109507,0.00010430983703121933
7,0.0029823514964387216,0.0030542579949694574,0.0021252125212521257,0.0013749595600129408,0.0004165645675079637,0.0006484787451554822,0.0005486561152565128,0.00044573562109325837
8,0.003959803008119259,0.0024812343619683066,0.002614982310413782,0.001778136393521009,0.0005295243180705735,0.0007876934482439068,0.0006556871215335363,0.0005274074599347611
9,0.010149253731343283,0.00643939393939394,0.006965785699651711,0.004956268221574345,0.0015891563449404067,0.00228310502283105,0.0019530128094663681,0.001573491299518697
10,0.009973891871278125,0.005677643443991717,0.005462900478807159,0.004195044911657289,0.002390494269844618,0.0017587965693121037,0.0014044479693334656,0.001109921391449688
11,0.01624203821656051,0.007317073170731708,0.008762886597938143,0.0060685387910518794,0.003860711582134747,0.0025804493017607772,0.0022640504306135133,0.0019359246887336774
12,0.017645532393391575,0.009309967141292444,0.00899827974063782,0.005296683514505298,0.00401706596652445,0.0030613163660373963,0.002393991550618057,0.002047260952177055
13,0.020147420147420145,0.013579862058216107,0.007967262210943836,0.006478899423684701,0.004565103484411842,0.003564159993454627,0.0027496804532041465,0.0021534677937614316
14,0.02296217993892412,0.014822958526044431,0.008986336631387825,0.006719367588932806,0.004498001207903138,0.0034423256387230822,0.0027649997701726533,0.0022968114852322656
15,0.019892458139470093,0.013438735177865615,0.008073270013568523,0.0063611417982252965,0.00390548080078766,0.0030303030303030303,0.002392961876832845,0.0019905879204210903
16,0.027238994771462303,0.0169080439713837,0.011131022124198772,0.007916149271289459,0.005137994114372066,0.003922473465620673,0.0031746759799232047,0.0025817968666737717
17,0.03512396694214876,0.022613505093289462,0.013551926324511994,0.010379510909733604,0.0067059403628059065,0.005068813458248983,0.004071638141038772,0.003400930781055868
18,0.036814798105120686,0.026780439776829666,0.017012227538543326,0.01196867024553375,0.007790162056373661,0.006028101591241523,0.004633757147967904,0.003936628007950445
19,0.03985203346452459,0.02839759700852081,0.017005304406879206,0.013095036182722748,0.008426940743098821,0.006573579390249958,0.005258945599854692,0.004363203104396639
20,0.04147406266050334,0.02818909090909091,0.017493974598532237,0.013207032847212755,0.008558747543445138,0.006470611803357507,0.0050027491887957,0.004291256288528307
21,0.04643310321095984,0.03046766955490954,0.01795396334364501,0.013469168767000226,0.009105670483541047,0.006927598731918935,0.005558874115575147,0.0046047467922467914
22,0.04810080201929732,0.03109701531820814,0.01910004283970675,0.013895095848524051,0.009211757367846561,0.007277038679477704,0.0056714676932751226,0.0048929068380599
23,0.046386996721697646,0.029994161102789976,0.018691219161070378,0.013389315745336689,0.00915873723377454,0.00674892182903493,0.005437333750586763,0.004530499869625904
24,0.06106276615441585,0.039284352963598244,0.02453102453102453,0.01803960179411443,0.01166607711354793,0.009092011821269463,0.007098304413518203,0.005963919912042127
25,0.04847647913341344,0.030932436143916508,0.019437373257971267,0.014171122994652407,0.00955579516730596,0.00716991341991342,0.005585345442147352,0.004772515396350077
26,0.05692709846064478,0.03562798058210902,0.022730683694213633,0.016317016317016316,0.011004871604326645,0.008390368702816767,0.006454762421349533,0.005638665132336018
27,0.053021020638734616,0.03488128637829237,0.02164409366981714,0.01550834993390799,0.010294276666409205,0.008235701221019328,0.006347766946270686,0.0055494117490306845
28,0.05842101279236999,0.03780368338557994,0.02279520349695788,0.01770735825853936,0.011519231056252893,0.008856361249575426,0.007049779591627953,0.005934804808130021
29,0.056776051720439986,0.03503630313114506,0.022519155865857288,0.01647960726418954,0.010574673286537693,0.008109693118358628,0.0066560462079754005,0.005505050505050505
