N,dynamic,static
2,87.58823529411765,90.70588235294117
3,55.1764705882353,53.76470588235294
4,59.35294117647059,67.11764705882354
5,69.05882352941177,81.82352941176471
6,79.41176470588235,92.11764705882354
7,104.76470588235294,100.47058823529412
8,115.88235294117646,107.17647058823529
9,122.76470588235294,118.52941176470588
10,136.7058823529412,124.82352941176471
11,141.52941176470588,149.58823529411765
12,166.11764705882354,161.0
13,159.7058823529412,154.35294117647058
14,169.0,164.0
15,185.1764705882353,171.2941176470588
16,178.88235294117646,168.94117647058823
17,186.35294117647058,185.76470588235293
18,206.8235294117647,187.64705882352942
19,208.05882352941177,197.2941176470588
20,232.23529411764707,203.58823529411765
21,235.58823529411765,217.52941176470588
22,259.47058823529414,222.94117647058823
23,259.5882352941176,230.94117647058823
24,274.47058823529414,243.64705882352942
25,290.94117647058823,250.8235294117647
26,304.29411764705884,271.11764705882354
27,307.88235294117646,276.94117647058823
28,334.1764705882353,291.5882352941176
29,342.47058823529414,304.0
30,363.70588235294116,317.5882352941176
31,358.5882352941176,310.0
32,390.3529411764706,340.7647058823529
33,396.4117647058824,341.4117647058824
34,420.2352941176471,364.47058823529414
35,435.88235294117646,373.88235294117646
36,458.4117647058824,390.88235294117646
37,447.05882352941177,391.11764705882354
38,488.4117647058824,416.2352941176471
39,500.70588235294116,429.11764705882354
40,517.5882352941177,441.0
41,543.4117647058823,462.47058823529414
42,550.2941176470589,501.52941176470586
43,551.7058823529412,510.8235294117647
44,589.5882352941177,520.9411764705883
45,622.2352941176471,510.4117647058824
46,624.4705882352941,537.0588235294117
47,652.6470588235294,530.9411764705883
48,682.7647058823529,554.7647058823527
49,668.7647058823529,586.7058823529412
50,703.8235294117648,594.6470588235294
51,722.4117647058823,594.4117647058823
52,736.7647058823529,605.1176470588235
53,764.7058823529412,613.3529411764706
54,773.1176470588235,643.7058823529412
55,789.1176470588235,638.7647058823529
56,816.2352941176471,656.4705882352941
57,836.8823529411765,696.0
58,868.8823529411765,726.4117647058823
59,898.7058823529412,725.2352941176471
60,918.2941176470588,746.3529411764706
61,920.2352941176471,758.2352941176471
62,946.2352941176471,806.1764705882352
63,984.7058823529412,815.2941176470588
64,1016.2352941176471,812.7647058823529
65,1029.9411764705883,827.9411764705883
66,1060.2941176470588,873.7647058823529
67,1083.8235294117646,884.5294117647059
68,1115.4117647058824,906.8823529411765
69,1119.4117647058824,935.1764705882352
70,1153.6470588235295,942.2941176470588
71,1182.5294117647059,975.0588235294117
72,1193.235294117647,998.9411764705883
73,1233.764705882353,1015.6470588235294
74,1279.6470588235297,1059.764705882353
75,1305.4705882352941,1088.2941176470586
76,1354.1176470588234,1127.2941176470588
77,1373.4705882352941,1146.764705882353
78,1409.1176470588234,1195.1764705882358
79,1399.1176470588234,1194.1176470588234
80,1468.9411764705883,1280.0588235294117
81,1438.6470588235295,1324.5294117647059
82,1493.6470588235295,1348.3529411764705
83,1508.8823529411766,1367.235294117647
84,1558.1176470588234,1415.8823529411766
85,1598.1764705882354,1473.0
86,1664.235294117647,1528.2941176470588
87,1631.7058823529412,1509.0588235294117
88,1679.7058823529412,1573.5882352941176
89,1732.9411764705883,1599.9411764705883
90,1728.0588235294117,1623.3529411764705
91,1778.1176470588234,1678.3529411764705
92,1824.5882352941176,1706.764705882353
93,1846.2941176470588,1822.3529411764705
94,1907.7058823529412,1855.5882352941176
95,1930.9411764705883,1879.764705882353
96,1978.6470588235295,1952.6470588235295
97,1976.5882352941176,2095.529411764706
98,2046.1764705882354,2101.705882352941
99,2063.5882352941176,2168.0
100,2128.294117647059,2097.235294117647
