N,plain,1,2,3,4,5,6,7,8
2,0.0,83.47058823529412,74.58823529411768,77.47058823529412,57.470588235294116,131.8235294117647,103.11764705882354,109.17647058823529,83.70588235294117
3,0.8181818181818182,81.3529411764706,89.00000000000001,46.76470588235294,66.17647058823529,80.6470588235294,55.23529411764706,55.76470588235294,66.64705882352939
4,0.0,73.82352941176471,47.94117647058823,49.705882352941174,58.05882352941177,69.99999999999999,57.470588235294116,60.76470588235294,67.05882352941177
5,0.0,80.17647058823529,52.588235294117645,53.76470588235294,62.88235294117647,87.82352941176471,91.0,90.05882352941177,112.3529411764706
6,0.09090909090909091,99.58823529411765,61.588235294117645,65.05882352941178,79.76470588235294,136.41176470588235,105.41176470588235,111.23529411764706,108.94117647058823
7,0.45454545454545453,152.41176470588235,74.41176470588235,71.29411764705881,82.6470588235294,218.23529411764707,116.82352941176471,118.3529411764706,127.47058823529412
8,0.6363636363636364,160.7058823529412,128.23529411764707,81.11764705882354,89.47058823529412,240.35294117647058,134.64705882352942,138.64705882352942,150.8235294117647
9,2.0,197.05882352941177,155.2941176470588,95.70588235294117,100.88235294117646,251.7058823529412,146.0,146.2941176470588,158.88235294117646
10,1.8181818181818181,182.2941176470588,160.11764705882354,110.94117647058823,108.3529411764706,152.11764705882354,172.2941176470588,184.94117647058823,204.76470588235293
11,3.0,184.7058823529412,205.0,114.11764705882354,123.58823529411765,155.41176470588235,193.76470588235293,189.2941176470588,193.7058823529412
12,3.272727272727273,185.47058823529412,175.76470588235293,121.23529411764706,154.4705882352941,162.94117647058823,178.1764705882353,195.2941176470588,199.8235294117647
13,3.727272727272727,185.0,137.23529411764707,155.9411764705883,143.82352941176467,163.2941176470588,174.2941176470588,193.64705882352942,216.35294117647058
14,4.181818181818182,182.11764705882354,141.05882352941177,155.11764705882354,155.58823529411765,185.94117647058823,202.47058823529412,216.05882352941177,227.58823529411765
15,3.8181818181818183,191.94117647058823,142.05882352941174,157.6470588235294,150.05882352941174,195.52941176470588,210.0,227.94117647058823,239.76470588235293
16,5.181818181818182,190.23529411764707,153.23529411764707,155.1764705882353,163.6470588235294,201.7058823529412,220.1764705882353,233.1764705882353,250.88235294117646
17,6.909090909090909,196.7058823529412,152.76470588235293,169.94117647058823,166.41176470588235,206.05882352941177,227.1764705882353,242.41176470588235,253.94117647058823
18,8.727272727272727,237.05882352941177,162.94117647058823,171.0,182.2941176470588,224.05882352941177,241.2941176470588,269.05882352941177,277.1176470588235
19,9.909090909090908,248.64705882352942,174.47058823529412,194.23529411764707,189.1764705882353,235.1764705882353,251.23529411764707,269.17647058823525,283.88235294117646
20,10.363636363636363,249.88235294117646,183.8235294117647,197.47058823529412,196.1764705882353,242.1764705882353,266.94117647058823,295.94117647058823,301.88235294117646
21,11.545454545454545,248.64705882352942,189.47058823529412,214.35294117647058,214.2941176470588,253.58823529411765,277.7647058823529,296.70588235294116,313.4117647058824
22,12.636363636363637,262.70588235294116,203.1764705882353,220.52941176470588,227.35294117647058,274.3529411764706,289.4117647058824,318.29411764705884,322.8235294117647
23,12.636363636363637,272.4117647058824,210.64705882352942,225.35294117647058,235.94117647058823,275.94117647058823,312.05882352941177,332.0,348.6470588235294
24,17.636363636363637,288.8235294117647,224.47058823529412,239.64705882352942,244.41176470588235,302.3529411764706,323.29411764705884,354.94117647058823,369.6470588235294
25,14.454545454545455,298.1764705882353,233.64705882352942,247.88235294117646,255.0,302.52941176470586,336.0,369.70588235294116,378.5882352941176
26,17.818181818181817,313.0,250.05882352941177,261.29411764705884,273.0,323.8235294117647,353.94117647058823,394.3529411764706,395.0
27,17.818181818181817,336.05882352941177,255.41176470588235,274.4117647058824,287.2352941176471,346.1764705882353,360.5882352941176,401.0,401.3529411764706
28,20.636363636363637,353.2352941176471,272.94117647058823,301.7647058823529,291.3529411764706,358.29411764705884,388.3529411764706,418.1764705882353,434.6470588235294
29,19.818181818181817,349.05882352941177,282.8235294117647,293.3529411764706,300.6470588235294,374.8235294117647,407.29411764705884,425.3529411764706,450.0
30,22.0,372.7647058823529,302.8235294117647,325.47058823529414,326.8235294117647,390.5882352941176,422.2352941176471,449.88235294117646,468.70588235294116
31,23.181818181818183,391.1764705882353,306.5882352941176,325.05882352941177,326.0,400.0,421.0,454.11764705882354,482.88235294117646
32,24.636363636363637,402.3529411764706,325.5882352941176,345.7647058823529,347.6470588235294,415.7647058823529,444.5882352941176,485.5882352941176,507.5882352941176
33,25.363636363636363,411.5882352941176,334.70588235294116,363.11764705882354,358.0,445.05882352941177,456.11764705882354,489.05882352941177,509.3529411764706
34,28.90909090909091,426.6470588235294,352.0,354.6470588235294,373.52941176470586,442.1764705882353,487.52941176470586,518.1764705882352,557.6470588235295
35,30.09090909090909,449.05882352941177,359.4117647058824,373.05882352941177,376.29411764705884,456.11764705882354,494.52941176470586,532.0,565.8235294117648
36,31.363636363636363,460.1764705882353,377.29411764705884,407.1764705882353,392.0,486.29411764705884,525.7647058823529,568.1764705882351,601.6470588235294
37,30.90909090909091,476.3529411764706,382.47058823529414,419.29411764705884,410.6470588235294,498.70588235294116,537.4705882352943,572.5294117647059,594.7058823529412
38,35.0,491.8235294117647,402.11764705882354,418.5882352941176,425.05882352941177,525.2352941176471,563.2352941176471,596.0588235294117,589.4705882352941
39,34.36363636363637,511.11764705882354,414.5882352941176,418.0,428.88235294117646,530.4117647058825,568.4705882352941,615.9411764705883,623.0588235294117
40,37.90909090909091,521.7058823529412,431.8235294117647,449.6470588235294,463.94117647058823,564.5294117647059,594.1176470588235,627.1764705882352,648.9411764705883
41,39.72727272727273,529.0588235294117,440.52941176470586,451.0,484.4117647058824,564.6470588235294,606.7058823529412,639.7647058823529,663.3529411764706
42,40.45454545454545,561.0,472.0,468.3529411764706,492.70588235294116,594.8235294117648,631.5882352941177,674.8235294117648,692.9411764705883
43,41.27272727272727,572.6470588235294,487.6470588235294,492.0,506.47058823529414,592.4117647058823,650.8823529411765,684.5294117647059,701.0588235294117
44,43.63636363636363,584.8235294117648,491.47058823529414,503.2352941176471,524.1176470588235,635.4117647058823,670.0,701.2941176470588,737.7647058823529
