N,t
2,87.58823529411765
3,55.1764705882353
4,59.35294117647059
5,69.05882352941177
6,79.41176470588235
7,104.76470588235294
8,115.88235294117646
9,122.76470588235294
10,136.7058823529412
11,141.52941176470588
12,166.11764705882354
13,159.7058823529412
14,169.0
15,185.1764705882353
16,178.88235294117646
17,186.35294117647058
18,206.8235294117647
19,208.05882352941177
20,232.23529411764707
21,235.58823529411765
22,259.47058823529414
23,259.5882352941176
24,274.47058823529414
25,290.94117647058823
26,304.29411764705884
27,307.88235294117646
28,334.1764705882353
29,342.47058823529414
30,363.70588235294116
31,358.5882352941176
32,390.3529411764706
33,396.4117647058824
34,420.2352941176471
35,435.88235294117646
36,458.4117647058824
37,447.05882352941177
38,488.4117647058824
39,500.70588235294116
40,517.5882352941177
41,543.4117647058823
42,550.2941176470589
43,551.7058823529412
44,589.5882352941177
45,622.2352941176471
46,624.4705882352941
47,652.6470588235294
48,682.7647058823529
49,668.7647058823529
50,703.8235294117648
51,722.4117647058823
52,736.7647058823529
53,764.7058823529412
54,773.1176470588235
55,789.1176470588235
56,816.2352941176471
57,836.8823529411765
58,868.8823529411765
59,898.7058823529412
60,918.2941176470588
61,920.2352941176471
62,946.2352941176471
63,984.7058823529412
64,1016.2352941176471
65,1029.9411764705883
66,1060.2941176470588
67,1083.8235294117646
68,1115.4117647058824
69,1119.4117647058824
70,1153.6470588235295
71,1182.5294117647059
72,1193.235294117647
73,1233.764705882353
74,1279.6470588235297
75,1305.4705882352941
76,1354.1176470588234
77,1373.4705882352941
78,1409.1176470588234
79,1399.1176470588234
80,1468.9411764705883
81,1438.6470588235295
82,1493.6470588235295
83,1508.8823529411766
84,1558.1176470588234
85,1598.1764705882354
86,1664.235294117647
87,1631.7058823529412
88,1679.7058823529412
89,1732.9411764705883
90,1728.0588235294117
91,1778.1176470588234
92,1824.5882352941176
93,1846.2941176470588
94,1907.7058823529412
95,1930.9411764705883
96,1978.6470588235295
97,1976.5882352941176
98,2046.1764705882354
99,2063.5882352941176
100,2128.294117647059
