N,t
2,90.70588235294117
3,53.76470588235294
4,67.11764705882354
5,81.82352941176471
6,92.11764705882354
7,100.47058823529412
8,107.17647058823529
9,118.52941176470588
10,124.82352941176471
11,149.58823529411765
12,161.0
13,154.35294117647058
14,164.0
15,171.2941176470588
16,168.94117647058823
17,185.76470588235293
18,187.64705882352942
19,197.2941176470588
20,203.58823529411765
21,217.52941176470588
22,222.94117647058823
23,230.94117647058823
24,243.64705882352942
25,250.8235294117647
26,271.11764705882354
27,276.94117647058823
28,291.5882352941176
29,304.0
30,317.5882352941176
31,310.0
32,340.7647058823529
33,341.4117647058824
34,364.47058823529414
35,373.88235294117646
36,390.88235294117646
37,391.11764705882354
38,416.2352941176471
39,429.11764705882354
40,441.0
41,462.47058823529414
42,501.52941176470586
43,510.8235294117647
44,520.9411764705883
45,510.4117647058824
46,537.0588235294117
47,530.9411764705883
48,554.7647058823527
49,586.7058823529412
50,594.6470588235294
51,594.4117647058823
52,605.1176470588235
53,613.3529411764706
54,643.7058823529412
55,638.7647058823529
56,656.4705882352941
57,696.0
58,726.4117647058823
59,725.2352941176471
60,746.3529411764706
61,758.2352941176471
62,806.1764705882352
63,815.2941176470588
64,812.7647058823529
65,827.9411764705883
66,873.7647058823529
67,884.5294117647059
68,906.8823529411765
69,935.1764705882352
70,942.2941176470588
71,975.0588235294117
72,998.9411764705883
73,1015.6470588235294
74,1059.764705882353
75,1088.2941176470586
76,1127.2941176470588
77,1146.764705882353
78,1195.1764705882358
79,1194.1176470588234
80,1280.0588235294117
81,1324.5294117647059
82,1348.3529411764705
83,1367.235294117647
84,1415.8823529411766
85,1473.0
86,1528.2941176470588
87,1509.0588235294117
88,1573.5882352941176
89,1599.9411764705883
90,1623.3529411764705
91,1678.3529411764705
92,1706.764705882353
93,1822.3529411764705
94,1855.5882352941176
95,1879.764705882353
96,1952.6470588235295
97,2095.529411764706
98,2101.705882352941
99,2168.0
100,2097.235294117647
