N,S
2,0.0
3,0.010145215834493735
4,0.0
5,0.0
6,0.0006664314555647027
7,0.0020828228375398185
8,0.002647621590352868
9,0.007945781724702033
10,0.011952471349223089
11,0.019303557910673733
12,0.02008532983262225
13,0.02282551742205921
14,0.02249000603951569
15,0.0195274040039383
16,0.025689970571860333
17,0.03352970181402953
18,0.0389508102818683
19,0.042134703715494104
20,0.042793737717225694
21,0.04552835241770523
22,0.046058786839232806
23,0.0457936861688727
24,0.05833038556773965
25,0.0477789758365298
26,0.055024358021633225
27,0.051471383332046025
28,0.05759615528126446
29,0.052873366432688466
30,0.05632530120481928
31,0.05795454545454546
32,0.059255543550959515
33,0.05698940235022709
34,0.06537908014560935
35,0.06597181513353811
36,0.0644951999736081
37,0.06197859701044415
38,0.06663680143353119
39,0.06478671600108883
40,0.06715166671402995
41,0.07035770771576585
42,0.06801100402761795
43,0.06966898655906699
44,0.06867415125145175
45,0.07334360554699539
46,0.07302112353777107
47,0.07443457443457445
48,0.07577291906405831
49,0.07774524700737502
50,0.07743327473229983
51,0.07492900413254396
52,0.07616109453069984
53,0.07738653099477842
54,0.08043869784976083
55,0.08061558694470088
56,0.08197240967307352
57,0.08255999430743413
58,0.08705955793951725
59,0.08395579974072474
60,0.08629867388837419
61,0.08579754171648946
62,0.08742018676816206
63,0.08920296690325606
64,0.09390542193232776
65,0.09280797531450272
66,0.0935305634518722
67,0.0951523526373826
68,0.09894134764939039
69,0.0976565298373809
70,0.09879954268292683
71,0.10011632448952437
72,0.10056208906311576
73,0.10972931912615033
74,0.10564723211975237
75,0.10517740280601169
76,0.10953974895397489
77,0.11173643347163455
78,0.11111508616526129
79,0.11295359295829313
80,0.1153110601908224
81,0.1183338680653396
82,0.11890273127229097
83,0.11929939035702176
84,0.12179043537892219
85,0.125
86,0.12972045802234483
87,0.13016900504411327
88,0.12959861687580196
89,0.13537572219673735
90,0.1321157098250616
91,0.1390338920373922
92,0.13597012061327274
93,0.1373996217831008
94,0.13636760746461085
95,0.14344833524375344
96,0.14227398814777456
97,0.13959765025754878
98,0.14456310801166883
99,0.147449348362716
100,0.14732750475415918
