N,t
2,83.70588235294117
3,66.64705882352939
4,67.05882352941177
5,112.3529411764706
6,108.94117647058823
7,127.47058823529412
8,150.8235294117647
9,158.88235294117646
10,204.76470588235293
11,193.7058823529412
12,199.8235294117647
13,216.35294117647058
14,227.58823529411765
15,239.76470588235293
16,250.88235294117646
17,253.94117647058823
18,277.1176470588235
19,283.88235294117646
20,301.88235294117646
21,313.4117647058824
22,322.8235294117647
23,348.6470588235294
24,369.6470588235294
25,378.5882352941176
26,395.0
27,401.3529411764706
28,434.6470588235294
29,450.0
30,468.70588235294116
31,482.88235294117646
32,507.5882352941176
33,509.3529411764706
34,557.6470588235295
35,565.8235294117648
36,601.6470588235294
37,594.7058823529412
38,589.4705882352941
39,623.0588235294117
40,648.9411764705883
41,663.3529411764706
42,692.9411764705883
43,701.0588235294117
44,737.7647058823529
45,752.9411764705883
46,766.5882352941177
47,784.8235294117648
48,818.8823529411765
49,834.0588235294117
50,844.0
51,868.0
52,903.1764705882352
53,928.8823529411765
54,954.1764705882352
55,960.7647058823529
56,998.1764705882352
57,1012.4705882352941
58,1047.3529411764705
59,1080.1764705882354
60,1129.4705882352944
61,1137.3529411764703
62,1167.1764705882354
63,1218.6470588235295
64,1234.4117647058824
65,1238.2941176470588
66,1268.6470588235295
67,1292.7647058823527
68,1348.0588235294117
69,1361.8235294117646
70,1397.4117647058824
71,1451.2941176470588
72,1529.5882352941176
73,1537.6470588235295
74,1567.2941176470588
75,1611.1176470588234
76,1668.3529411764705
77,1688.4705882352941
78,1719.8235294117646
79,1730.0
80,1799.2941176470588
81,1778.4705882352941
82,1878.2941176470588
83,1865.1764705882354
84,1901.9411764705883
85,1938.5294117647059
86,1963.8235294117646
87,2053.529411764706
88,2113.9411764705883
89,2153.8823529411766
90,2142.5882352941176
91,2192.4117647058824
92,2194.176470588235
93,2209.823529411765
94,2309.705882352941
95,2274.9411764705883
96,2386.235294117647
97,2432.294117647059
98,2574.764705882353
99,2551.5882352941176
100,2586.0588235294117
