N,dynamic,static
2,22.470588235294116,49.76470588235294
3,25.941176470588236,39.11764705882353
4,32.94117647058823,29.470588235294116
5,22.941176470588236,30.58823529411765
6,22.41176470588235,30.470588235294116
7,22.11764705882353,31.235294117647058
8,25.470588235294116,30.941176470588236
9,24.294117647058822,33.11764705882353
10,28.647058823529413,36.94117647058823
11,28.235294117647058,31.470588235294116
12,31.705882352941178,51.64705882352941
13,33.94117647058823,41.23529411764706
14,34.0,49.76470588235294
15,38.76470588235294,49.94117647058823
16,46.35294117647059,67.29411764705883
17,49.35294117647059,61.8235294117647
18,54.705882352941174,76.17647058823529
19,60.0,89.52941176470588
20,67.52941176470588,148.94117647058823
21,69.52941176470588,127.3529411764706
22,80.58823529411765,127.23529411764706
23,84.52941176470588,133.52941176470588
24,102.05882352941177,136.88235294117646
25,97.0,169.94117647058826
26,113.0,189.52941176470588
27,117.23529411764706,222.52941176470588
28,128.05882352941177,259.7058823529411
29,131.76470588235293,250.52941176470588
30,134.41176470588238,267.05882352941177
31,136.41176470588235,250.88235294117646
32,146.8235294117647,302.2352941176471
33,158.58823529411765,196.7058823529412
34,169.88235294117646,250.05882352941177
35,165.52941176470588,344.47058823529414
36,184.41176470588235,377.47058823529414
37,189.1764705882353,472.0
38,199.8235294117647,417.7647058823529
39,211.41176470588235,531.7058823529412
40,221.1764705882353,554.1176470588235
41,225.88235294117646,416.0
42,242.23529411764707,513.9411764705883
43,247.52941176470588,608.6470588235294
44,276.35294117647055,544.1764705882352
45,287.0,503.7647058823529
46,302.52941176470586,558.8823529411765
47,303.6470588235294,575.4705882352941
48,331.7647058823529,803.9411764705883
49,331.4117647058824,613.8823529411765
50,350.88235294117646,965.2352941176471
51,374.5882352941176,716.2941176470588
52,388.05882352941177,934.8235294117648
53,400.2352941176471,810.7647058823529
54,411.7647058823529,1083.0
55,425.1764705882353,1078.5294117647059
56,451.2352941176471,1031.8823529411766
57,457.8235294117647,1145.8823529411766
58,488.05882352941177,1264.4117647058824
59,501.88235294117646,1174.6470588235295
60,522.5294117647059,1356.3529411764705
61,536.5294117647059,1214.3529411764705
62,548.0588235294117,1499.1176470588234
63,576.0588235294117,1391.6470588235295
64,588.3529411764706,1447.4705882352941
65,607.6470588235294,1647.8823529411766
66,620.8823529411765,1649.0
67,632.5294117647059,1638.4117647058824
68,671.2352941176471,1631.4705882352941
69,664.9411764705883,2058.529411764706
70,693.8235294117648,2115.823529411765
71,713.4117647058823,2026.2941176470588
72,718.8823529411765,2220.8823529411766
73,751.8235294117648,1795.764705882353
74,793.7058823529412,1881.4705882352941
75,780.1176470588235,2193.176470588235
76,800.0588235294117,2124.1764705882347
77,833.4705882352941,2305.0588235294117
78,871.7647058823529,2094.235294117647
79,865.9411764705883,2008.764705882353
80,903.5882352941177,2086.176470588235
81,911.9411764705883,2628.5882352941176
82,970.0588235294117,2938.294117647059
83,949.1176470588235,2534.470588235294
84,1018.2352941176471,2535.764705882353
85,1020.6470588235294,2008.1176470588234
86,1050.235294117647,2584.235294117647
87,1092.3529411764705,2713.235294117647
88,1073.7058823529417,2923.4117647058824
89,1113.764705882353,3014.470588235294
90,1176.2941176470588,2738.3529411764707
91,1178.0588235294117,2469.176470588235
92,1219.8235294117646,3153.764705882353
93,1244.1176470588234,3384.235294117647
94,1275.1764705882354,2878.3529411764707
95,1287.5882352941176,3242.3529411764707
96,1336.5882352941176,3577.3529411764707
97,1333.4705882352941,3162.823529411765
98,1407.6470588235295,3279.8823529411766
99,1414.6470588235295,3488.6470588235293
100,1475.6470588235295,3472.705882352941
