N,plain,1,2,3,4,5,6,7,8
2,0.0,45.1764705882353,12.411764705882353,21.764705882352942,13.411764705882353,32.1764705882353,35.8235294117647,31.823529411764707,39.470588235294116
3,0.8181818181818182,11.823529411764707,13.411764705882353,20.58823529411765,27.647058823529413,24.0,37.88235294117647,31.11764705882353,44.88235294117647
4,0.0,42.23529411764706,19.11764705882353,28.058823529411764,31.41176470588235,32.47058823529412,33.0,37.411764705882355,39.05882352941177
5,0.0,15.0,20.88235294117647,32.88235294117647,32.529411764705884,33.76470588235294,25.352941176470587,34.470588235294116,27.11764705882353
6,0.09090909090909091,26.176470588235293,19.352941176470583,23.058823529411764,24.58823529411765,24.41176470588235,25.41176470588235,24.764705882352942,32.35294117647059
7,0.45454545454545453,22.647058823529413,15.294117647058824,20.05882352941176,22.647058823529413,23.647058823529413,26.11764705882353,30.0,33.23529411764706
8,0.6363636363636364,25.941176470588236,18.11764705882353,20.764705882352942,25.176470588235293,26.647058823529413,29.58823529411765,39.294117647058826,36.0
9,2.0,28.58823529411765,19.705882352941178,24.352941176470587,22.294117647058822,28.11764705882353,38.23529411764706,36.88235294117647,44.470588235294116
10,1.8181818181818181,29.823529411764707,20.176470588235293,27.11764705882353,24.176470588235293,35.64705882352941,34.94117647058823,40.88235294117647,54.64705882352941
11,3.0,28.529411764705884,22.764705882352942,26.647058823529413,27.176470588235293,30.176470588235293,34.94117647058823,37.05882352941177,41.11764705882353
12,3.272727272727273,30.0,25.88235294117647,27.058823529411764,27.235294117647058,37.76470588235294,44.11764705882353,45.1764705882353,45.8235294117647
13,3.727272727272727,30.176470588235293,28.529411764705884,30.529411764705884,32.0,38.411764705882355,40.64705882352941,43.05882352941177,51.529411764705884
14,4.181818181818182,33.64705882352941,32.23529411764706,33.11764705882353,34.11764705882353,41.70588235294118,45.588235294117645,54.94117647058823,50.1764705882353
15,3.8181818181818183,40.94117647058824,31.470588235294123,36.64705882352942,35.470588235294116,45.94117647058823,50.05882352941177,51.11764705882353,56.8235294117647
16,5.181818181818182,27.176470588235293,33.588235294117645,46.470588235294116,42.1764705882353,53.1764705882353,59.705882352941174,60.94117647058823,65.05882352941177
17,6.909090909090909,40.11764705882353,33.999999999999986,63.0,51.0,55.705882352941174,57.35294117647059,58.411764705882355,65.23529411764706
18,8.727272727272727,42.529411764705884,42.94117647058823,73.29411764705883,55.411764705882355,66.23529411764706,68.0,69.3529411764706,90.17647058823529
19,9.909090909090908,47.529411764705884,41.8235294117647,75.94117647058823,56.411764705882355,68.23529411764706,74.4705882352941,76.82352941176471,91.47058823529412
20,10.363636363636363,42.294117647058826,50.05882352941177,84.70588235294117,66.3529411764706,73.6470588235294,84.3529411764706,88.76470588235294,103.52941176470588
21,11.545454545454545,59.64705882352941,52.11764705882353,89.17647058823529,72.52941176470588,85.11764705882354,89.76470588235294,100.3529411764706,105.23529411764706
22,12.636363636363637,53.411764705882355,60.705882352941174,111.47058823529412,75.11764705882354,102.17647058823529,106.29411764705883,103.82352941176471,111.6470588235294
23,12.636363636363637,54.0,62.94117647058823,109.52941176470588,86.58823529411765,104.17647058823529,97.76470588235294,117.52941176470588,101.41176470588235
24,17.636363636363637,70.0,68.94117647058823,111.94117647058823,104.29411764705883,110.29411764705883,101.82352941176471,121.76470588235294,126.88235294117646
25,14.454545454545455,99.0,76.41176470588235,96.11764705882354,102.0,110.41176470588235,112.82352941176471,118.52941176470588,144.7058823529412
26,17.818181818181817,95.94117647058823,84.94117647058823,102.17647058823529,100.11764705882354,118.94117647058823,124.47058823529412,133.1764705882353,136.0
27,17.818181818181817,93.82352941176471,88.17647058823529,109.94117647058823,105.23529411764706,124.6470588235294,122.70588235294117,143.47058823529412,147.58823529411765
28,20.636363636363637,70.47058823529412,98.76470588235294,112.82352941176471,119.29411764705883,134.8235294117647,135.7058823529412,137.17647058823528,167.41176470588235
29,19.818181818181817,90.58823529411765,101.58823529411765,120.41176470588235,115.05882352941177,133.8235294117647,144.94117647058823,153.8235294117647,164.3529411764706
30,22.0,86.58823529411765,108.94117647058823,129.94117647058823,127.0,155.64705882352942,157.41176470588235,168.47058823529412,181.76470588235293
31,23.181818181818183,99.88235294117646,105.05882352941177,129.11764705882354,129.0,153.88235294117646,148.88235294117646,150.7058823529412,188.05882352941177
32,24.636363636363637,105.52941176470588,118.23529411764706,137.0,140.2941176470588,181.76470588235293,173.76470588235293,178.0,182.47058823529412
33,25.363636363636363,96.29411764705883,120.23529411764706,141.47058823529412,147.1764705882353,184.23529411764707,171.29411764705884,172.58823529411765,209.23529411764707
34,28.90909090909091,105.41176470588235,132.2941176470588,158.88235294117646,151.11764705882354,204.11764705882354,189.05882352941177,201.35294117647058,233.0
35,30.09090909090909,102.94117647058823,134.7058823529412,160.52941176470586,164.0,191.88235294117646,201.52941176470588,198.05882352941177,222.1764705882353
36,31.363636363636363,108.3529411764706,145.2941176470588,178.41176470588235,175.64705882352942,207.23529411764707,205.8235294117647,222.0,226.1764705882353
37,30.90909090909091,115.82352941176471,148.11764705882354,176.58823529411765,177.52941176470588,208.1764705882353,212.58823529411765,232.52941176470588,223.8235294117647
38,35.0,122.29411764705883,160.0,191.41176470588235,191.88235294117646,232.94117647058823,235.88235294117646,252.1764705882353,244.1764705882353
39,34.36363636363637,122.29411764705883,160.0,196.76470588235293,191.7058823529412,224.58823529411765,230.23529411764707,256.8235294117647,261.8235294117647
40,37.90909090909091,134.8235294117647,175.94117647058823,217.52941176470588,217.8235294117647,245.52941176470588,260.52941176470586,258.70588235294116,288.5882352941176
41,39.72727272727273,141.88235294117646,180.1764705882353,220.0,211.11764705882354,258.11764705882354,259.52941176470586,264.1764705882353,284.05882352941177
42,40.45454545454545,153.2941176470588,195.11764705882354,239.76470588235293,241.11764705882354,267.11764705882354,307.35294117647055,304.5882352941176,311.8823529411766
43,41.27272727272727,154.17647058823528,194.2941176470588,239.52941176470588,239.7058823529412,281.88235294117646,292.70588235294116,290.47058823529414,323.47058823529414
44,43.63636363636363,163.8235294117647,209.11764705882354,260.764705882353,254.1764705882353,306.52941176470586,308.88235294117646,306.94117647058823,355.3529411764706
45,47.09090909090909,169.41176470588235,211.7058823529412,260.11764705882354,256.3529411764706,325.05882352941177,318.88235294117646,343.47058823529414,369.8235294117647
46,48.63636363636363,181.0,223.05882352941177,287.2352941176471,286.7647058823529,355.0,330.05882352941177,352.7647058823529,341.11764705882354
47,50.54545454545455,221.64705882352942,234.0,301.00000000000006,282.5882352941176,340.05882352941177,346.47058823529414,378.5882352941176,394.0
48,52.81818181818182,193.58823529411765,244.0,311.8235294117647,306.6470588235294,366.0,383.3529411764706,387.52941176470586,424.7647058823529
49,56.09090909090909,197.88235294117646,249.1764705882353,317.5882352941176,313.8235294117647,354.88235294117646,371.70588235294116,386.6470588235294,415.88235294117646
50,57.0,267.4705882352941,265.7647058823529,327.2352941176471,327.11764705882354,395.05882352941177,391.94117647058823,396.6470588235294,448.52941176470586
51,58.27272727272727,216.7058823529412,268.94117647058835,339.0,328.6470588235294,397.88235294117646,402.8235294117647,402.0,453.88235294117646
52,60.72727272727273,234.0,281.1764705882353,363.52941176470586,372.6470588235294,441.1764705882353,431.1764705882353,473.94117647058823,472.7647058823529
53,61.81818181818182,235.58823529411765,291.05882352941177,364.2352941176471,361.70588235294116,452.5882352941176,440.8235294117647,459.52941176470586,498.0
54,66.63636363636364,243.8235294117647,303.3529411764706,389.3529411764706,394.88235294117646,469.47058823529414,454.52941176470586,491.05882352941177,546.1764705882354
55,68.18181818181819,276.3529411764706,310.29411764705884,394.11764705882354,418.6470588235294,489.8235294117647,464.1764705882353,500.47058823529414,570.3529411764706
56,71.9090909090909,263.1176470588236,326.11764705882354,414.1764705882353,424.8235294117647,495.94117647058823,498.8235294117647,527.2941176470588,548.2941176470588
57,74.45454545454545,270.2352941176471,331.5882352941176,416.94117647058823,426.05882352941177,482.52941176470586,480.0,502.88235294117646,574.4705882352941
58,80.54545454545455,289.88235294117646,356.52941176470586,439.1764705882353,442.0,518.7058823529412,520.7647058823529,568.7647058823529,584.3529411764705
59,80.0,288.6470588235294,361.7647058823529,454.3529411764706,450.52941176470586,537.4705882352941,554.1764705882352,560.5294117647059,614.7647058823529
60,84.18181818181819,307.4117647058824,376.29411764705884,474.11764705882354,489.0,558.3529411764706,583.9411764705883,598.7058823529412,624.4117647058823
61,85.18181818181819,311.88235294117646,388.4117647058824,478.70588235294116,491.0,564.3529411764706,596.4705882352941,608.2941176470588,654.9411764705883
62,89.9090909090909,364.8235294117647,402.94117647058823,496.52941176470586,530.9411764705883,594.1176470588235,609.3529411764706,639.9411764705883,661.4117647058823
63,92.54545454545455,392.4117647058824,411.2352941176471,504.47058823529414,523.2941176470588,615.9411764705883,608.8235294117648,680.2352941176471,663.7058823529412
64,98.54545454545455,346.70588235294116,430.05882352941177,543.5882352941177,558.4705882352941,653.5294117647059,624.7647058823529,683.2352941176471,664.0
65,100.36363636363636,363.8235294117647,433.94117647058823,544.7647058823529,554.2941176470588,630.1764705882352,625.4117647058823,670.4705882352941,726.1764705882352
66,106.27272727272727,375.0,462.6470588235294,564.4705882352941,586.4705882352941,672.1176470588235,671.1176470588235,714.8235294117648,727.0588235294117
67,109.36363636363636,381.2352941176471,466.8235294117647,571.8235294117646,579.0,688.5882352941177,688.5294117647059,734.1176470588235,766.7058823529412
68,116.0,398.1764705882353,493.2352941176471,604.8823529411765,604.0,716.8235294117648,740.7058823529412,758.4705882352941,798.6470588235294
69,116.63636363636364,442.8235294117647,501.70588235294116,612.2352941176471,637.2941176470588,727.0588235294117,694.1176470588235,772.6470588235294,833.7647058823529
70,122.0,426.2352941176471,523.2941176470588,620.7058823529412,651.8235294117648,753.9411764705883,727.9411764705883,794.4117647058823,803.7647058823529
71,124.72727272727273,431.52941176470586,533.7058823529412,636.0,658.5882352941177,749.2941176470588,783.6470588235294,822.2352941176471,863.9411764705883
72,129.63636363636363,449.94117647058823,559.4705882352941,662.6470588235294,687.9411764705883,795.7647058823529,823.3529411764706,856.8235294117648,885.2352941176471
73,141.36363636363637,473.4117647058824,557.4705882352941,668.7647058823529,713.9411764705883,827.3529411764706,801.0,869.8823529411765,921.5882352941177
74,141.9090909090909,567.9411764705883,566.3529411764706,705.8235294117648,734.8235294117648,875.2941176470588,853.8235294117648,894.1764705882352,959.2352941176471
75,146.36363636363637,531.2941176470588,563.9411764705883,708.0588235294117,749.7058823529412,848.7058823529412,865.4117647058823,916.1176470588235,947.9411764705883
76,154.0,515.8823529411765,600.2352941176472,754.4117647058823,763.6470588235294,877.9411764705883,901.5294117647059,970.2352941176471,980.0
77,160.0,693.9411764705883,605.2352941176471,756.7647058823529,801.2941176470588,889.1764705882352,920.0588235294117,965.8823529411765,1043.1176470588234
