N,t
2,22.470588235294116
3,25.941176470588236
4,32.94117647058823
5,22.941176470588236
6,22.41176470588235
7,22.11764705882353
8,25.470588235294116
9,24.294117647058822
10,28.647058823529413
11,28.235294117647058
12,31.705882352941178
13,33.94117647058823
14,34.0
15,38.76470588235294
16,46.35294117647059
17,49.35294117647059
18,54.705882352941174
19,60.0
20,67.52941176470588
21,69.52941176470588
22,80.58823529411765
23,84.52941176470588
24,102.05882352941177
25,97.0
26,113.0
27,117.23529411764706
28,128.05882352941177
29,131.76470588235293
30,134.41176470588238
31,136.41176470588235
32,146.8235294117647
33,158.58823529411765
34,169.88235294117646
35,165.52941176470588
36,184.41176470588235
37,189.1764705882353
38,199.8235294117647
39,211.41176470588235
40,221.1764705882353
41,225.88235294117646
42,242.23529411764707
43,247.52941176470588
44,276.35294117647055
45,287.0
46,302.52941176470586
47,303.6470588235294
48,331.7647058823529
49,331.4117647058824
50,350.88235294117646
51,374.5882352941176
52,388.05882352941177
53,400.2352941176471
54,411.7647058823529
55,425.1764705882353
56,451.2352941176471
57,457.8235294117647
58,488.05882352941177
59,501.88235294117646
60,522.5294117647059
61,536.5294117647059
62,548.0588235294117
63,576.0588235294117
64,588.3529411764706
65,607.6470588235294
66,620.8823529411765
67,632.5294117647059
68,671.2352941176471
69,664.9411764705883
70,693.8235294117648
71,713.4117647058823
72,718.8823529411765
73,751.8235294117648
74,793.7058823529412
75,780.1176470588235
76,800.0588235294117
77,833.4705882352941
78,871.7647058823529
79,865.9411764705883
80,903.5882352941177
81,911.9411764705883
82,970.0588235294117
83,949.1176470588235
84,1018.2352941176471
85,1020.6470588235294
86,1050.235294117647
87,1092.3529411764705
88,1073.7058823529417
89,1113.764705882353
90,1176.2941176470588
91,1178.0588235294117
92,1219.8235294117646
93,1244.1176470588234
94,1275.1764705882354
95,1287.5882352941176
96,1336.5882352941176
97,1333.4705882352941
98,1407.6470588235295
99,1414.6470588235295
100,1475.6470588235295
