N,t
2,49.76470588235294
3,39.11764705882353
4,29.470588235294116
5,30.58823529411765
6,30.470588235294116
7,31.235294117647058
8,30.941176470588236
9,33.11764705882353
10,36.94117647058823
11,31.470588235294116
12,51.64705882352941
13,41.23529411764706
14,49.76470588235294
15,49.94117647058823
16,67.29411764705883
17,61.8235294117647
18,76.17647058823529
19,89.52941176470588
20,148.94117647058823
21,127.3529411764706
22,127.23529411764706
23,133.52941176470588
24,136.88235294117646
25,169.94117647058826
26,189.52941176470588
27,222.52941176470588
28,259.7058823529411
29,250.52941176470588
30,267.05882352941177
31,250.88235294117646
32,302.2352941176471
33,196.7058823529412
34,250.05882352941177
35,344.47058823529414
36,377.47058823529414
37,472.0
38,417.7647058823529
39,531.7058823529412
40,554.1176470588235
41,416.0
42,513.9411764705883
43,608.6470588235294
44,544.1764705882352
45,503.7647058823529
46,558.8823529411765
47,575.4705882352941
48,803.9411764705883
49,613.8823529411765
50,965.2352941176471
51,716.2941176470588
52,934.8235294117648
53,810.7647058823529
54,1083.0
55,1078.5294117647059
56,1031.8823529411766
57,1145.8823529411766
58,1264.4117647058824
59,1174.6470588235295
60,1356.3529411764705
61,1214.3529411764705
62,1499.1176470588234
63,1391.6470588235295
64,1447.4705882352941
65,1647.8823529411766
66,1649.0
67,1638.4117647058824
68,1631.4705882352941
69,2058.529411764706
70,2115.823529411765
71,2026.2941176470588
72,2220.8823529411766
73,1795.764705882353
74,1881.4705882352941
75,2193.176470588235
76,2124.1764705882347
77,2305.0588235294117
78,2094.235294117647
79,2008.764705882353
80,2086.176470588235
81,2628.5882352941176
82,2938.294117647059
83,2534.470588235294
84,2535.764705882353
85,2008.1176470588234
86,2584.235294117647
87,2713.235294117647
88,2923.4117647058824
89,3014.470588235294
90,2738.3529411764707
91,2469.176470588235
92,3153.764705882353
93,3384.235294117647
94,2878.3529411764707
95,3242.3529411764707
96,3577.3529411764707
97,3162.823529411765
98,3279.8823529411766
99,3488.6470588235293
100,3472.705882352941
