N,S
2,0.0
3,0.021597967250141164
4,0.0
5,0.0
6,0.0035774410774410776
7,0.017403767403767402
8,0.021507319718055303
9,0.05230769230769231
10,0.05203550658096113
11,0.08585858585858587
12,0.07418181818181818
13,0.09169846072885146
14,0.09173020527859238
15,0.07627390236085888
16,0.08678907299596955
17,0.12046620046620048
18,0.1283422459893048
19,0.13306046244434871
20,0.12286040319513121
21,0.12861908733468366
22,0.11888111888111888
23,0.12925281697844876
24,0.1732051888031091
25,0.12811640913830694
26,0.14315174428595978
27,0.1452104942037828
28,0.15206683217086336
29,0.13673258559622195
30,0.1397608370702541
31,0.15570561402248484
32,0.14178002092694036
33,0.1480706793206793
34,0.15291056174690276
35,0.14931274213235685
36,0.15238119982332615
37,0.14539417417115258
38,0.1483790523690773
39,0.1492544246759883
40,0.14550791272398858
41,0.1530742602818759
42,0.13162244454110483
43,0.14100409237065187
44,0.1412717923858659
45,0.14767486709932753
46,0.14735665332706857
47,0.1458867109121778
48,0.13777951371936334
49,0.1509013221309471
50,0.1454299864925709
51,0.144660683942226
52,0.14084087808508
53,0.14023339884028435
54,0.14660517430026943
55,0.14688770866695086
56,0.1441573756432247
57,0.15511363636363637
58,0.1546676524650093
59,0.1443583483706613
60,0.14416146963744425
61,0.14280975434821588
62,0.14754846466401636
63,0.15200702678963549
64,0.15773210877250046
65,0.16047609275600247
66,0.15835185937736554
67,0.15883655003689176
68,0.15660736975857686
69,0.16803543913713406
70,0.16759595959595958
71,0.15916256090404118
72,0.15744932355634647
73,0.17648394052888436
74,0.1662042401277675
75,0.16912600721736123
76,0.17082082735221193
77,0.17390192442938432
78,0.17790595769299064
79,0.182358554560401
80,0.18032013257461438
81,0.18470314787900563
82,0.19061446830157489
83,0.19250183222023806
84,0.18921718808303378
85,0.19732807709154623
86,0.20242585001205693
87,0.19578492939210268
88,0.19312459042882663
89,0.20474497569469638
90,0.19288636468967377
91,0.20664488063841302
92,0.20230893366988043
93,0.19805942612426466
94,0.19580711991332939
95,0.20330321970491438
96,0.20280152320186917
97,0.2100593048569927
98,0.21255320088950416
99,0.20830300674840121
100,0.2124442942093572
