N,t
2,13.411764705882353
3,27.647058823529413
4,31.41176470588235
5,32.529411764705884
6,24.58823529411765
7,22.647058823529413
8,25.176470588235293
9,22.294117647058822
10,24.176470588235293
11,27.176470588235293
12,27.235294117647058
13,32.0
14,34.11764705882353
15,35.470588235294116
16,42.1764705882353
17,51.0
18,55.411764705882355
19,56.411764705882355
20,66.3529411764706
21,72.52941176470588
22,75.11764705882354
23,86.58823529411765
24,104.29411764705883
25,102.0
26,100.11764705882354
27,105.23529411764706
28,119.29411764705883
29,115.05882352941177
30,127.0
31,129.0
32,140.2941176470588
33,147.1764705882353
34,151.11764705882354
35,164.0
36,175.64705882352942
37,177.52941176470588
38,191.88235294117646
39,191.7058823529412
40,217.8235294117647
41,211.11764705882354
42,241.11764705882354
43,239.7058823529412
44,254.1764705882353
45,256.3529411764706
46,286.7647058823529
47,282.5882352941176
48,306.6470588235294
49,313.8235294117647
50,327.11764705882354
51,328.6470588235294
52,372.6470588235294
53,361.70588235294116
54,394.88235294117646
55,418.6470588235294
56,424.8235294117647
57,426.05882352941177
58,442.0
59,450.52941176470586
60,489.0
61,491.0
62,530.9411764705883
63,523.2941176470588
64,558.4705882352941
65,554.2941176470588
66,586.4705882352941
67,579.0
68,604.0
69,637.2941176470588
70,651.8235294117648
71,658.5882352941177
72,687.9411764705883
73,713.9411764705883
74,734.8235294117648
75,749.7058823529412
76,763.6470588235294
77,801.2941176470588
78,809.0
79,800.4117647058823
80,867.5294117647059
81,884.0588235294117
82,888.5294117647059
83,918.5294117647059
84,955.8823529411765
85,963.5882352941177
86,991.5882352941177
87,1013.8235294117648
88,1042.2941176470588
89,1063.5294117647059
90,1108.5294117647059
91,1091.9411764705883
92,1150.0
93,1168.7058823529412
94,1220.529411764706
95,1235.2941176470588
96,1268.5882352941176
97,1289.9411764705883
98,1292.0
99,1333.4117647058824
100,1367.9411764705883
